CODE,PP1,PP2,PP3,PP4,PQ1,PQ2,PQ3,PQ4,CE1,CE2,CE3,CE4,CE5,CE6,Sex,Age,Child,Edu,Income,WTP,Consumption,PERDEN,X1,X2,X3
1,2,2,4,2,2,2,2,4,2,2,2,2,4,2,1,32,0.0,1,1,2.00,0.00,0,2.50,2.50,2.50
2,4,3,4,4,3,4,2,3,4,3,2,3,3,4,0,29,1.0,1,0,4.00,3.00,1,3.75,3.75,2.50
3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,0,32,1.0,1,0,4.00,0.00,1,3.00,3.00,2.50
4,3,3,5,3,2,3,4,1,3,4,4,2,3,4,0,25,0.0,1,0,4.00,3.00,1,3.50,3.50,2.50
5,5,3,5,5,4,3,5,4,5,5,5,5,5,5,0,22,1.0,1,0,5.00,2.00,1,4.50,4.50,2.50
6,3,3,4,4,4,3,3,3,3,4,3,3,3,5,0,45,1.0,0,0,2.00,1.00,0,3.50,3.50,2.50
7,3,3,3,4,3,2,3,4,3,4,3,3,3,4,1,27,1.0,1,1,5.00,0.00,1,3.25,3.25,3.75
8,4,4,4,3,4,2,2,3,3,4,4,2,2,3,1,28,0.0,0,0,2.00,0.00,0,3.75,3.75,3.00
9,4,3,4,4,4,3,3,3,3,2,2,2,4,4,0,28,1.0,0,0,4.00,1.00,1,3.75,3.75,3.50
10,2,2,3,3,2,2,3,2,1,1,2,2,2,3,0,23,1.0,1,1,0.00,0.00,0,2.50,2.50,4.50
11,4,4,4,4,4,4,4,3,3,2,3,4,3,5,1,22,0.0,0,0,1.00,0.00,0,4.00,4.00,3.50
12,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,24,1.0,0,1,3.00,2.00,1,4.00,4.00,3.25
13,4,3,4,2,4,4,3,3,2,2,3,4,4,5,1,32,0.0,0,0,0.00,1.00,0,3.25,3.25,3.75
14,5,3,5,4,4,2,3,3,4,3,3,3,3,4,0,29,1.0,0,1,1.00,0.00,0,4.25,4.25,3.75
15,4,4,4,4,4,4,4,3,3,5,4,1,3,4,0,26,1.0,1,0,5.00,2.00,1,4.00,4.00,2.50
16,2,3,3,2,3,3,2,3,1,2,1,3,3,3,1,19,0.0,1,0,0.00,2.00,0,2.50,2.50,4.00
17,4,3,4,4,4,4,4,2,3,3,2,2,2,4,0,23,0.0,0,1,1.00,1.00,1,3.75,3.75,4.00
18,3,4,4,3,4,4,5,4,4,4,4,4,4,4,1,26,1.0,1,0,1.00,1.00,1,3.50,3.50,3.25
19,3,3,3,4,3,3,4,3,4,3,3,2,3,4,1,32,1.0,1,0,0.00,3.00,1,3.25,3.25,4.25
20,4,3,4,3,3,3,3,3,4,3,3,2,3,3,1,25,1.0,0,0,0.00,1.00,1,3.50,3.50,4.00
21,4,3,3,4,3,3,3,4,3,3,3,2,4,4,0,25,0.0,0,0,1.00,0.00,0,3.50,3.50,2.50
22,3,3,3,3,4,4,4,4,4,2,4,2,2,4,1,26,1.0,1,0,3.00,0.00,1,3.00,3.00,3.75
23,2,3,4,2,2,2,2,2,3,2,3,2,2,1,0,26,0.0,1,1,2.00,1.00,0,2.75,2.75,3.50
24,5,4,4,5,5,4,5,5,2,4,4,2,4,4,1,25,0.0,1,0,3.00,1.00,1,4.50,4.50,3.25
25,3,3,4,4,4,3,4,4,3,3,3,2,2,3,1,21,1.0,1,0,0.00,3.00,0,3.50,3.50,3.50
26,4,3,5,4,4,3,3,3,5,3,5,4,3,4,0,21,1.0,1,0,4.00,1.00,1,4.00,4.00,3.50
27,3,2,3,2,4,2,3,4,4,4,4,4,5,5,1,22,1.0,1,0,1.00,1.00,0,2.50,2.50,3.00
28,5,3,4,3,4,3,4,4,3,2,2,2,3,5,1,23,1.0,1,1,3.00,2.00,1,3.75,3.75,2.75
29,3,3,2,1,3,3,2,3,4,2,2,3,3,2,0,20,1.0,1,0,5.00,3.00,1,2.25,2.25,4.50
30,3,2,3,3,4,3,4,3,4,3,3,2,3,4,0,29,1.0,1,0,3.00,3.00,1,2.75,2.75,3.50
31,3,3,2,3,3,3,4,3,2,1,1,1,2,1,1,22,0.0,1,0,3.00,1.00,1,2.75,3.00,4.00
32,5,3,4,2,4,3,3,4,4,3,3,3,3,4,0,24,1.0,1,0,3.00,2.00,1,3.50,3.75,2.50
33,3,3,4,5,1,2,2,2,5,2,4,4,4,4,0,23,0.0,0,1,2.00,3.00,0,3.75,2.75,3.75
34,2,3,3,2,3,3,2,2,1,1,1,1,1,2,0,22,1.0,1,0,3.00,2.00,1,2.50,3.50,2.25
35,3,2,3,3,2,2,3,3,1,1,1,1,1,1,1,21,0.0,1,0,5.00,3.00,1,2.75,4.25,2.75
36,3,2,2,2,3,3,3,3,2,2,1,1,1,1,1,21,1.0,1,0,5.00,2.00,1,2.25,3.25,3.00
37,3,3,3,2,2,3,2,3,3,3,3,3,3,2,0,22,0.0,1,1,1.00,1.00,0,2.75,3.00,3.75
38,3,3,3,4,3,2,3,4,4,3,4,4,2,4,0,25,1.0,1,0,0.00,3.00,1,3.25,3.25,2.75
39,3,3,3,3,3,3,4,3,4,3,3,3,3,4,1,25,1.0,1,0,4.00,2.00,1,3.00,4.00,3.50
40,4,3,3,3,3,3,3,4,2,2,2,2,3,2,1,22,1.0,0,0,5.00,3.00,1,3.25,2.00,4.25
41,3,4,4,4,3,4,4,4,4,2,2,2,3,3,0,26,0.0,0,0,3.00,2.00,1,3.75,4.75,3.25
42,3,3,4,3,2,2,2,2,1,1,1,2,2,3,0,21,0.0,0,1,0.00,1.00,0,3.25,3.75,3.00
43,4,2,4,3,3,4,3,2,2,3,2,3,3,4,1,22,1.0,0,0,1.00,1.00,0,3.25,3.25,3.25
44,3,3,1,3,3,3,3,3,3,2,3,4,3,2,1,22,0.0,1,0,4.00,0.00,1,2.50,3.25,4.00
45,4,3,4,3,3,3,3,3,4,4,3,3,2,3,0,22,1.0,1,0,3.00,3.00,1,3.50,3.75,2.00
46,3,2,3,2,3,3,3,2,2,2,2,2,2,2,1,24,0.0,1,1,4.00,0.00,1,2.50,2.75,4.75
47,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,19,1.0,0,0,0.00,1.00,0,3.00,3.50,3.75
